clust_e,median(As),median(Sb),median(Ni),median(Ag)
1,1.51,0.04,0.01,0.04
2,1.415,0.0625,0.001,0.05
3,1.4,0.11,0.181,0.12
4,1.7,0.004,0.02,0.02
5,1.375,0.06005,0.13,0.039349999999999996
6,1.5,0.001,0.002,0.01
7,1.76,0.026000000000000002,0.0045000000000000005,0.001
