clust_e,median(As),median(Sb),median(Ni),median(Ag)
1,4.44,0.026,0.022,0.02
2,4.4,0.001,0.0225,0.01
3,4.305,0.001,0.0010999999999999998,0.00215
4,4.5645,0.001,0.001,0.025
5,4.025,0.135,0.09085,0.07
6,4.5,0.026000000000000002,0.006,0.065
7,4.5,0.025,0.008,0.001
