clust_e,median(As),median(Sb),median(Ni),median(Ag)
1,0.39,0.0395,0.06,0.041
2,0.23,0.0086,0.01,0.001
3,0.001,0.03,0.001,0.07450000000000001
4,0.325,0.001,0.002,0.021
5,0.001,0.001,0.01,0.001
6,0.001,0.001,0.001,0.031
7,0.26,0.04,0.001,0.05
8,0.001,0.001,0.001,0.001
